List of entire photometry of J1407

Photographic plate archives:
DASCH (DR5 and missing from DR5), Bamberg Observatory, Sonneberg Observatory
Data from CCD observatories:
AAVSO, KELT, PROMPT, SuperWASP

MJD	Decimal Year	Magnitude	Mag Error	Filter	Source/Series	Plate Name
------------------------------------------------------------------------------------------
11484.2	1890.3183	13.55	0.11	Johnson Blue	DASCH DR5 b	b'b04993'
13710.2	1896.4131	13.7	0.18	Johnson Blue	DASCH DR5 b	b'b16015'
14147.0	1897.6083	13.71	0.21	Johnson Blue	DASCH DR5 b	b'b19998'
14538.0	1898.6794	13.56	0.12	Johnson Blue	DASCH DR5 b	b'b21921'
14842.1	1899.5126	13.28	0.11	Johnson Blue	DASCH DR5 b	b'b23317'
14850.0	1899.5344	13.48	0.23	Johnson Blue	DASCH DR5 b	b'b23461'
15110.2	1900.2472	13.62	0.05	Johnson Blue	DASCH DR5 b	b'b24918'
15499.1	1901.3126	13.65	0.12	Johnson Blue	DASCH DR5 b	b'b27258'
15523.2	1901.3786	13.52	0.06	Johnson Blue	DASCH DR5 b	b'b27335'
15858.2	1902.2964	13.63	0.15	Johnson Blue	DASCH DR5 b	b'b29405'
15946.1	1902.5373	13.58	0.12	Johnson Blue	DASCH DR5 b	b'b30396'
16220.2	1903.2882	13.43	0.1	Johnson Blue	DASCH DR5 b	b'b31423'
16239.2	1903.3403	13.56	0.07	Johnson Blue	DASCH DR5 b	b'b31607'
16241.2	1903.3458	13.56	0.09	Johnson Blue	DASCH DR5 b	b'b31673'
16265.2	1903.4114	13.6	0.05	Johnson Blue	DASCH DR5 b	b'b31887'
16312.0	1903.5398	13.63	0.08	Johnson Blue	DASCH DR5 b	b'b32252'
16652.1	1904.4703	13.57	0.1	Johnson Blue	DASCH DR5 b	b'b34132'
17719.2	1907.3923	13.46	0.08	Johnson Blue	DASCH DR5 b	b'b37480'
18434.2	1909.3485	13.74	0.14	Johnson Blue	DASCH DR5 b	b'b40163'
18453.1	1909.4004	13.67	0.08	Johnson Blue	DASCH DR5 b	b'b40327'
18780.2	1910.2966	13.6	0.09	Johnson Blue	DASCH DR5 b	b'b41207'
19144.2	1911.2938	13.52	0.19	Johnson Blue	DASCH DR5 b	b'b42211'
19163.1	1911.3456	13.38	0.16	Johnson Blue	DASCH DR5 b	b'b42278'
19557.2	1912.424	13.73	0.24	Johnson Blue	DASCH DR5 b	b'b43154'
19636.0	1912.6394	13.44	0.14	Johnson Blue	DASCH DR5 b	b'b43432'
20584.3	1915.2365	12.86	0.27	Johnson Blue	DASCH DR5 am	b'am10363'
20994.2	1916.3584	13.71	0.15	Johnson Blue	DASCH DR5 b	b'b46616'
21007.1	1916.3938	13.59	0.08	Johnson Blue	DASCH DR5 b	b'b46796'
21023.1	1916.4374	13.89	0.17	Johnson Blue	DASCH DR5 b	b'b47174'
21318.3	1917.2446	13.68	0.17	Johnson Blue	DASCH DR5 b	b'b49723'
21332.2	1917.2828	13.6	0.16	Johnson Blue	DASCH DR5 b	b'b49941'
21336.2	1917.2938	13.51	0.11	Johnson Blue	DASCH DR5 b	b'b50108'
21357.1	1917.3511	13.55	0.14	Johnson Blue	DASCH DR5 b	b'b50333'
22081.2	1919.3348	13.68	0.1	Johnson Blue	DASCH DR5 mf	b'mf03497'
22105.1	1919.4003	13.58	0.05	Johnson Blue	DASCH DR5 mf	b'mf03683'
22140.0	1919.4959	13.79	0.16	Johnson Blue	DASCH DR5 mf	b'mf04042'
22435.2	1920.3039	13.59	0.12	Johnson Blue	DASCH DR5 mf	b'mf05318'
22436.2	1920.3066	13.57	0.11	Johnson Blue	DASCH DR5 mf	b'mf05346'
22492.1	1920.4592	13.55	0.06	Johnson Blue	DASCH DR5 mf	b'mf06046'
22520.0	1920.5355	13.61	0.13	Johnson Blue	DASCH DR5 mf	b'mf06269'
22523.0	1920.5437	13.77	0.1	Johnson Blue	DASCH DR5 mf	b'mf06314'
23906.2	1924.3312	13.4	0.21	Johnson Blue	DASCH DR5 ax	b'ax00491'
23962.0	1924.4837	13.8	0.2	Johnson Blue	DASCH DR5 ax	b'ax00623'
23964.1	1924.4893	13.47	0.22	Johnson Blue	DASCH DR5 ax	b'ax00638'
23969.1	1924.5029	13.64	0.11	Johnson Blue	DASCH DR5 ax	b'ax00662'
24258.2	1925.2937	13.71	0.22	Johnson Blue	DASCH DR5 ax	b'ax01019'
24270.3	1925.3268	13.77	0.15	Johnson Blue	DASCH DR5 ax	b'ax01031'
24285.1	1925.3675	13.42	0.21	Johnson Blue	DASCH DR5 ax	b'ax01047'
