process_id	plate_id	filename	ut_start	ut_mid	ut_end	exptime	year_mid	jd_mid	hjd_mid	color_term	faint_limit	natmag	natmagerr	bmag	bmagerr	vmag	vmagerr	annular_bin
167	27674	000085_1963_h.fits	15.06.1963 18:08	15.06.1963 18:38	15.06.1963 19:08	3600	1963.453187	2438196.276	2438196.28	0.903772	12.6678	nan	nan	nan	nan	nan	nan	nan
168	27731	000142_1963_h.fits	16.06.1963 20:10	16.06.1963 20:40	16.06.1963 21:10	3600	1963.456156	2438197.361	2438197.365	0.884549	12.4427	nan	nan	nan	nan	nan	nan	nan
169	27947	000358_1963_h.fits	11.07.1963 16:41	11.07.1963 17:11	11.07.1963 17:41	3600	1963.524205	2438222.216	2438222.218	0.984099	12.7242	nan	nan	nan	nan	nan	nan	nan
170	27961	000372_1963_h.fits	11.07.1963 18:52	11.07.1963 19:22	11.07.1963 19:52	3600	1963.524454	2438222.307	2438222.309	0.838925	12.2715	nan	nan	nan	nan	nan	nan	nan
171	27976	000387_1963_h.fits	12.07.1963 16:27	12.07.1963 16:57	12.07.1963 17:27	3600	1963.526917	2438223.206	2438223.208	0.997527	13.1728	nan	nan	nan	nan	nan	nan	nan
116	28002	000413_1963_h.fits	13.07.1963 16:36	13.07.1963 17:06	13.07.1963 17:36	3600	1963.529671	2438224.213	2438224.214	0.980127	13.3034	13.4918	0.422094	13.5157	0.422338	12.3137	0.426146	1
117	28028	000439_1963_h.fits	14.07.1963 16:37	14.07.1963 17:07	14.07.1963 17:37	3600	1963.532411	2438225.213	2438225.215	0.987297	13.2832	nan	nan	nan	nan	nan	nan	nan
9	28205	000616_1963_h.fits	24.07.1963 16:49	24.07.1963 17:19	24.07.1963 17:49	3600	1963.559813	2438235.222	2438235.223	1.00122	13.2606	13.2303	0.321947	13.2289	0.322285	12.0269	0.327476	1
44	30825	003236_1964_h.fits	20.03.1964 23:42	21.03.1964 00:12	21.03.1964 00:42	3600	1964.217682	2438475.508	2438475.512	1.08685	14.0713	13.6776	0.185467	13.5733	0.185959	12.3713	0.196291	1
48	30939	003350_1964_h.fits	07.04.1964 22:33	07.04.1964 23:03	07.04.1964 23:33	3600	1964.266832	2438493.46	2438493.465	1.07532	14.0528	13.5953	0.238558	13.5048	0.238952	12.3028	0.246921	1
51	30975	003386_1964_h.fits	08.04.1964 22:14	08.04.1964 22:44	08.04.1964 23:14	3600	1964.269534	2438494.447	2438494.452	1.08009	14.0828	13.7965	0.191073	13.7002	0.191577	12.4982	0.201509	1
52	31011	003422_1964_h.fits	12.04.1964 22:19	12.04.1964 22:49	12.04.1964 23:19	3600	1964.280495	2438498.451	2438498.456	1.05058	13.8432	13.6408	0.172086	13.58	0.172685	12.378	0.1831	1
53	31059	003470_1964_h.fits	13.04.1964 22:08	13.04.1964 22:38	13.04.1964 23:08	3600	1964.283212	2438499.443	2438499.448	1.11191	14.1199	13.864	0.225428	13.7295	0.225901	12.5275	0.234839	1
54	31113	003524_1964_h.fits	14.04.1964 22:04	14.04.1964 22:34	14.04.1964 23:04	3600	1964.285942	2438500.44	2438500.445	1.10463	14.1066	13.8566	0.234719	13.7309	0.23516	12.5289	0.243658	1
55	31155	003566_1964_h.fits	15.04.1964 22:00	15.04.1964 22:30	15.04.1964 23:00	3600	1964.288672	2438501.438	2438501.443	1.10693	14.165	13.48	0.26195	13.3514	0.262309	12.1494	0.269982	1
56	31209	003620_1964_h.fits	16.04.1964 22:00	16.04.1964 22:30	16.04.1964 23:00	3600	1964.29141	2438502.438	2438502.443	1.10574	14.2825	13.679	0.25471	13.5519	0.255076	12.3499	0.262946	1
118	31293	003704_1964_h.fits	18.04.1964 22:00	18.04.1964 22:30	18.04.1964 23:00	3600	1964.296886	2438504.438	2438504.443	0.935821	12.5678	nan	nan	nan	nan	nan	nan	nan
119	31347	003758_1964_h.fits	19.04.1964 22:03	19.04.1964 22:33	19.04.1964 23:03	3600	1964.299629	2438505.44	2438505.445	0.979844	12.9603	nan	nan	nan	nan	nan	nan	nan
122	31455	003866_1964_h.fits	03.05.1964 20:47	03.05.1964 21:17	03.05.1964 21:47	3600	1964.337815	2438519.387	2438519.392	0.964358	12.8205	nan	nan	nan	nan	nan	nan	nan
121	31485	003896_1964_h.fits	04.05.1964 20:46	04.05.1964 21:16	04.05.1964 21:46	3600	1964.340551	2438520.386	2438520.391	0.943666	12.5736	nan	nan	nan	nan	nan	nan	nan
120	31521	003932_1964_h.fits	05.05.1964 20:43	05.05.1964 21:13	05.05.1964 21:43	3600	1964.343283	2438521.384	2438521.389	0.955822	12.651	nan	nan	nan	nan	nan	nan	nan
125	31563	003974_1964_h.fits	08.05.1964 20:49	08.05.1964 21:19	08.05.1964 21:49	3600	1964.351508	2438524.388	2438524.393	0.946448	12.5872	nan	nan	nan	nan	nan	nan	nan
126	31605	004016_1964_h.fits	09.05.1964 20:41	09.05.1964 21:11	09.05.1964 21:41	3600	1964.35423	2438525.383	2438525.388	0.909887	12.2696	nan	nan	nan	nan	nan	nan	nan
57	31635	004046_1964_h.fits	12.05.1964 19:33	12.05.1964 20:03	12.05.1964 20:33	3600	1964.362315	2438528.335	2438528.341	0.962386	12.971	12.9305	0.40042	12.9757	0.400692	11.7737	0.404556	1
123	31683	004094_1964_h.fits	13.05.1964 19:34	13.05.1964 20:04	13.05.1964 20:34	3600	1964.365054	2438529.336	2438529.341	0.939289	12.9385	nan	nan	nan	nan	nan	nan	nan
124	31737	004148_1964_h.fits	14.05.1964 19:33	14.05.1964 20:03	14.05.1964 20:33	3600	1964.36779	2438530.335	2438530.341	0.958494	12.7609	nan	nan	nan	nan	nan	nan	nan
58	31815	004226_1964_h.fits	01.06.1964 18:23	01.06.1964 18:53	01.06.1964 19:23	3600	1964.416939	2438548.287	2438548.291	1.06618	14.1081	13.5483	0.268583	13.4688	0.268916	12.2668	0.27591	1
59	31845	004256_1964_h.fits	02.06.1964 17:22	02.06.1964 17:52	02.06.1964 18:22	3600	1964.41956	2438549.244	2438549.249	1.08067	14.2387	13.7354	0.251703	13.6385	0.252056	12.4365	0.259692	1
60	31881	004292_1964_h.fits	04.06.1964 18:24	04.06.1964 18:54	04.06.1964 19:24	3600	1964.425154	2438551.288	2438551.292	1.08359	14.2294	13.6242	0.190022	13.5237	0.190509	12.3217	0.200552	1
61	31917	004328_1964_h.fits	06.06.1964 18:21	06.06.1964 18:51	06.06.1964 19:21	3600	1964.430624	2438553.285	2438553.29	1.06947	14.0927	13.5537	0.208557	13.4702	0.208981	12.2682	0.217957	1
129	31965	004376_1964_h.fits	07.06.1964 18:22	07.06.1964 18:48	07.06.1964 19:14	3120	1964.433356	2438554.283	2438554.288	0.933344	12.3333	nan	nan	nan	nan	nan	nan	nan
130	31983	004394_1964_h.fits	08.06.1964 18:21	08.06.1964 18:51	08.06.1964 19:21	3600	1964.4361	2438555.285	2438555.29	1.00018	12.9677	nan	nan	nan	nan	nan	nan	nan
131	32037	004448_1964_h.fits	09.06.1964 18:21	09.06.1964 18:51	09.06.1964 19:21	3600	1964.438838	2438556.285	2438556.29	0.990026	12.8485	nan	nan	nan	nan	nan	nan	nan
132	32091	004502_1964_h.fits	10.06.1964 18:21	10.06.1964 18:51	10.06.1964 19:21	3600	1964.441575	2438557.285	2438557.29	0.99516	12.9468	nan	nan	nan	nan	nan	nan	nan
127	32133	004544_1964_h.fits	13.06.1964 18:22	13.06.1964 18:52	13.06.1964 19:22	3600	1964.449791	2438560.286	2438560.29	1.00572	12.863	nan	nan	nan	nan	nan	nan	nan
128	32187	004598_1964_h.fits	14.06.1964 18:24	14.06.1964 18:54	14.06.1964 19:24	3600	1964.452533	2438561.288	2438561.291	0.978058	12.9534	nan	nan	nan	nan	nan	nan	nan
133	32233	004644_1964_h.fits	15.06.1964 17:24	15.06.1964 17:54	15.06.1964 18:24	3600	1964.455156	2438562.246	2438562.25	1.01586	12.7131	nan	nan	nan	nan	nan	nan	nan
63	32305	004716_1964_h.fits	01.07.1964 17:21	01.07.1964 17:51	01.07.1964 18:21	3600	1964.498956	2438578.244	2438578.247	1.06959	14.0844	13.5488	0.203021	13.4652	0.203462	12.2632	0.212674	1
142	32329	004740_1964_h.fits	03.07.1964 16:19	03.07.1964 16:49	03.07.1964 17:19	3600	1964.504314	2438580.201	2438580.203	0.993613	12.9473	nan	nan	nan	nan	nan	nan	nan
143	32371	004782_1964_h.fits	04.07.1964 16:19	04.07.1964 16:49	04.07.1964 17:19	3600	1964.507052	2438581.201	2438581.203	1.00607	13.2083	nan	nan	nan	nan	nan	nan	nan
134	32389	004800_1964_h.fits	05.07.1964 16:19	05.07.1964 16:49	05.07.1964 17:19	3600	1964.50979	2438582.201	2438582.203	1.00588	13.068	nan	nan	nan	nan	nan	nan	nan
144	32437	004848_1964_h.fits	06.07.1964 16:20	06.07.1964 16:50	06.07.1964 17:20	3600	1964.512529	2438583.201	2438583.204	0.999991	13.0744	nan	nan	nan	nan	nan	nan	nan
137	32485	004896_1964_h.fits	07.07.1964 16:21	07.07.1964 16:51	07.07.1964 17:21	3600	1964.515269	2438584.202	2438584.204	1.02996	13.0789	nan	nan	nan	nan	nan	nan	nan
136	32533	004944_1964_h.fits	08.07.1964 16:21	08.07.1964 16:51	08.07.1964 17:21	3600	1964.518007	2438585.202	2438585.204	1.04006	13.0263	nan	nan	nan	nan	nan	nan	nan
135	32581	004992_1964_h.fits	09.07.1964 16:23	09.07.1964 16:53	09.07.1964 17:23	3600	1964.520749	2438586.203	2438586.206	0.993463	13.1878	13.1071	0.315603	13.1149	0.315892	11.9129	0.321106	1
138	32598	005009_1964_h.fits	10.07.1964 16:27	10.07.1964 16:57	10.07.1964 17:27	3600	1964.523494	2438587.206	2438587.208	0.957176	13.1242	nan	nan	nan	nan	nan	nan	nan
139	32646	005057_1964_h.fits	11.07.1964 16:23	11.07.1964 16:53	11.07.1964 17:23	3600	1964.526224	2438588.203	2438588.206	0.987808	13.1374	13.1287	0.419842	13.1433	0.420075	11.9413	0.423965	1
69	32664	005075_1964_h.fits	12.07.1964 16:27	12.07.1964 16:57	12.07.1964 17:27	3600	1964.52897	2438589.206	2438589.208	0.990127	13.0578	13.0382	0.308955	13.05	0.309283	11.848	0.314571	1
140	32712	005123_1964_h.fits	13.07.1964 16:23	13.07.1964 16:53	13.07.1964 17:23	3600	1964.5317	2438590.203	2438590.205	0.989388	13.2076	nan	nan	nan	nan	nan	nan	nan
141	32718	005129_1964_h.fits	13.07.1964 17:28	13.07.1964 17:58	13.07.1964 18:28	3600	1964.531824	2438590.249	2438590.252	0.961036	13.1647	nan	nan	nan	nan	nan	nan	nan
73	35038	007449_1965_h.fits	04.04.1965 22:33	04.04.1965 23:03	04.04.1965 23:33	3600	1965.257934	2438855.46	2438855.465	1.12051	14.4363	13.8633	0.231746	13.7184	0.232087	12.5164	0.240915	1
74	35116	007527_1965_h.fits	26.04.1965 21:09	26.04.1965 21:39	26.04.1965 22:09	3600	1965.318007	2438877.402	2438877.407	1.15497	14.7161	13.5731	0.270415	13.3868	0.270758	12.1848	0.27878	1
75	35162	007573_1965_h.fits	27.04.1965 21:13	27.04.1965 21:43	27.04.1965 22:13	3600	1965.320753	2438878.405	2438878.41	1.11089	14.1556	13.594	0.30091	13.4607	0.301193	12.2587	0.307942	1
76	35192	007603_1965_h.fits	28.04.1965 21:10	28.04.1965 21:40	28.04.1965 22:10	3600	1965.323485	2438879.403	2438879.408	1.13411	14.0971	13.5667	0.260779	13.4055	0.261164	12.2035	0.26921	1
77	35252	007663_1965_h.fits	30.04.1965 20:31	30.04.1965 21:01	30.04.1965 21:31	3600	1965.328886	2438881.376	2438881.381	1.12268	14.0698	13.5201	0.25435	13.3727	0.254707	12.1707	0.262805	1
78	35402	007813_1965_h.fits	06.05.1965 20:01	06.05.1965 20:31	06.05.1965 21:01	3600	1965.345256	2438887.355	2438887.36	1.13998	14.0937	13.805	0.246266	13.6367	0.246678	12.4347	0.255259	1
79	35468	007879_1965_h.fits	21.05.1965 19:50	21.05.1965 20:20	21.05.1965 20:50	3600	1965.386303	2438902.347	2438902.352	1.12917	14.0851	13.5896	0.270779	13.4343	0.271147	12.2323	0.278846	1
80	35486	007897_1965_h.fits	23.05.1965 19:28	23.05.1965 19:58	23.05.1965 20:28	3600	1965.391737	2438904.332	2438904.337	1.10822	13.9509	13.7953	0.245486	13.6652	0.245872	12.4632	0.254059	1
81	35510	007921_1965_h.fits	24.05.1965 18:56	24.05.1965 19:26	24.05.1965 19:56	3600	1965.394414	2438905.31	2438905.315	1.14233	14.2045	13.7811	0.215352	13.61	0.215841	12.408	0.225633	1
82	35540	007951_1965_h.fits	25.05.1965 18:54	25.05.1965 19:24	25.05.1965 19:54	3600	1965.397148	2438906.308	2438906.313	1.11987	14.1137	13.6994	0.225549	13.5553	0.225935	12.3533	0.234985	1
83	35562	007973_1965_h.fits	30.05.1965 18:30	30.05.1965 19:00	30.05.1965 19:30	3600	1965.410792	2438911.292	2438911.296	1.12005	14.0253	13.4408	0.268531	13.2965	0.26888	12.0945	0.276531	1
84	35604	008015_1965_h.fits	02.06.1965 18:42	02.06.1965 19:12	02.06.1965 19:42	3600	1965.419028	2438914.3	2438914.305	1.10148	13.9494	13.6299	0.22587	13.508	0.226239	12.306	0.235015	1
85	35640	008051_1965_h.fits	03.06.1965 18:45	03.06.1965 19:15	03.06.1965 19:45	3600	1965.421772	2438915.302	2438915.307	1.14074	14.129	13.8435	0.21584	13.6743	0.216337	12.4723	0.226083	1
86	35682	008093_1965_h.fits	04.06.1965 18:41	04.06.1965 19:11	04.06.1965 19:41	3600	1965.424502	2438916.299	2438916.304	1.14127	14.0498	13.8082	0.178036	13.6384	0.178572	12.4364	0.190273	1
87	35736	008147_1965_h.fits	18.06.1965 17:35	18.06.1965 18:05	18.06.1965 18:35	3600	1965.462706	2438930.253	2438930.257	1.05387	14.0776	13.6832	0.253367	13.6185	0.253628	12.4165	0.260873	1
88	35748	008159_1965_h.fits	20.06.1965 17:41	20.06.1965 18:11	20.06.1965 18:41	3600	1965.468193	2438932.258	2438932.261	1.10734	13.9595	13.5082	0.254452	13.3792	0.254784	12.1772	0.262683	1
89	35772	008183_1965_h.fits	21.06.1965 17:46	21.06.1965 18:16	21.06.1965 18:46	3600	1965.470941	2438933.261	2438933.265	1.11243	14.1236	13.5156	0.2881	13.3804	0.288407	12.1784	0.295466	1
90	35802	008213_1965_h.fits	22.06.1965 17:37	22.06.1965 18:07	22.06.1965 18:37	3600	1965.473662	2438934.255	2438934.258	1.13884	14.2031	13.7049	0.245664	13.538	0.246045	12.336	0.254632	1
91	35898	008309_1965_h.fits	28.06.1965 16:45	28.06.1965 17:15	28.06.1965 17:45	3600	1965.48999	2438940.219	2438940.222	1.1326	14.0962	13.6991	0.251351	13.5398	0.25176	12.3378	0.260078	1
145	35928	008339_1965_h.fits	30.06.1965 16:40	30.06.1965 17:10	30.06.1965 17:40	3600	1965.495456	2438942.215	2438942.218	0.999244	13.8026	13.5082	0.288161	13.5091	0.288261	12.3071	0.294031	1
92	35964	008375_1965_h.fits	01.07.1965 17:17	01.07.1965 17:47	01.07.1965 18:17	3600	1965.498264	2438943.241	2438943.244	1.16689	14.5696	13.9496	0.313026	13.749	0.313305	12.547	0.320388	1
146	37265	009678_1966_h.fits	24.03.1966 22:50	24.03.1966 23:20	24.03.1966 23:50	3600	1966.227166	2439209.472	2439209.476	1.14885	14.3889	13.8832	0.253404	13.7043	0.253713	12.5023	0.262178	1
