J.D.-2400000	JD_UTC	Source_AMag_T1	Source_AMag_Err_T1
56092.494994	2456092.494994	12.359364	0.013551
56092.495098	2456092.495098	12.349630	0.013492
56092.495191	2456092.495191	12.359586	0.013436
56098.470608	2456098.470608	12.354990	0.014225
56098.470712	2456098.470712	12.352654	0.014126
56098.470804	2456098.470804	12.332604	0.013830
56099.470422	2456099.470422	12.302768	0.016131
56100.470573	2456100.470573	12.325615	0.013452
56100.470700	2456100.470700	12.349056	0.013777
56100.470804	2456100.470804	12.263593	0.012629
56101.470457	2456101.470457	12.314930	0.013662
56101.470561	2456101.470561	12.345114	0.014221
56101.470654	2456101.470654	12.208478	0.012420
56102.470758	2456102.470758	12.372816	0.014006
56102.470862	2456102.470862	12.377150	0.014002
56102.470955	2456102.470955	12.370969	0.014044
56103.470955	2456103.470955	12.368679	0.013401
56103.471047	2456103.471047	12.355092	0.013374
56103.471140	2456103.471140	12.350034	0.013416
56104.645666	2456104.645666	12.427761	0.013682
56104.645758	2456104.645758	12.371906	0.013385
56104.645851	2456104.645851	12.378234	0.013419
56105.471881	2456105.471881	12.314817	0.012800
56105.471973	2456105.471973	12.334959	0.012840
56105.472066	2456105.472066	12.289290	0.012629
56110.473015	2456110.473015	12.310231	0.014665
56110.473119	2456110.473119	12.311984	0.014499
56110.473212	2456110.473212	12.341544	0.014605
56111.472992	2456111.472992	12.324880	0.013131
56111.473096	2456111.473096	12.331757	0.013764
56111.473200	2456111.473200	12.309701	0.013388
56113.552656	2456113.552656	12.350369	0.015114
56113.552749	2456113.552749	12.378117	0.015076
56114.712251	2456114.712251	12.319072	0.015321
56114.712344	2456114.712344	12.403109	0.015695
56114.712436	2456114.712436	12.404802	0.015898
56115.473999	2456115.473999	12.328495	0.014118
56115.474091	2456115.474091	12.303682	0.013666
56115.474184	2456115.474184	12.311174	0.013720
56116.474010	2456116.474010	12.309170	0.014139
56116.474115	2456116.474115	12.328398	0.013876
56116.474207	2456116.474207	12.320776	0.013884
56117.474554	2456117.474554	12.342970	0.013264
56117.474659	2456117.474659	12.328058	0.013115
56117.474751	2456117.474751	12.303675	0.013096
56118.474578	2456118.474578	12.302547	0.012650
56118.474670	2456118.474670	12.313206	0.012750
56118.474763	2456118.474763	12.285328	0.012645
56119.475191	2456119.475191	12.226487	0.012385
56119.475295	2456119.475295	12.242816	0.012354
56119.475388	2456119.475388	12.273595	0.012462
56120.619867	2456120.619867	12.353517	0.013859
56120.619959	2456120.619959	12.372879	0.014062
56120.620041	2456120.620041	12.397199	0.014092
56123.636071	2456123.636071	12.325457	0.012837
56123.636163	2456123.636163	12.322845	0.013232
56123.636256	2456123.636256	12.359596	0.013377
56124.476557	2456124.476557	12.330187	0.012605
56124.476649	2456124.476649	12.333408	0.012690
56124.476742	2456124.476742	12.413098	0.013558
56125.477170	2456125.477170	12.426569	0.013790
56125.477263	2456125.477263	12.389064	0.013607
56125.477355	2456125.477355	12.384196	0.013671
56126.477517	2456126.477517	12.385561	0.013380
56126.477622	2456126.477622	12.365770	0.013300
56126.477714	2456126.477714	12.398351	0.013449
56128.478235	2456128.478235	12.337949	0.014631
