Year	Month	Day	Mag B
1936	3	29	13.77
1935	4	3	13.53
1935	5	1	13.65
1935	5	2	13.77
1935	5	25	13.40
1935	6	23	13.77
1935	7	3	13.47
1936	6	16	13.59
1936	4	14	13.65
1936	6	10	13.71
1936	7	19	13.53
1936	7	17	13.53
1936	7	16	13.65
1936	7	14	13.53
1936	7	11	13.53
1936	7	10	13.41
1936	7	7	13.59
1936	6	18	13.65
1936	6	14	13.59
1936	4	18	13.53
1936	7	13	13.41
1936	6	12	13.41
1936	3	29	13.77
1953	5	4	13.65
1953	4	21	13.65
1953	5	17	13.59
1953	5	19	13.65
1953	6	4	13.65
1953	6	6	13.71
1953	6	9	13.77
1953	6	10	13.77
1953	6	15	13.89
1953	7	1	13.77
1953	7	6	13.65
1953	7	8	13.41
1953	4	17	13.41
1952	8	1	13.41
1953	4	12	13.65
1953	4	13	13.65
1953	4	14	13.65
1953	4	21	13.77
1953	5	5	13.53
1953	5	6	13.53
1953	5	10	13.65
1953	5	15	13.65
1953	5	19	13.65
1953	6	1	13.77
1953	6	6	13.77
1953	6	8	13.77
1953	6	11	13.53
1953	6	12	13.83
1953	6	14	13.89
1953	6	30	13.77
1953	7	2	13.41
1953	7	7	13.65
1953	7	11	13.77
1953	7	13	13.89
1953	7	14	13.83
1953	1	20	13.41
1953	1	26	13.41
1953	2	11	13.41
1953	2	12	13.41
1953	6	3	13.77
1953	6	1	13.41
1953	6	7	13.45
1952	8	13	13.41
1952	8	15	13.77
1952	8	17	13.41
1952	12	15	13.41
1952	12	17	13.77
1952	12	19	13.77
1953	1	20	13.53
1953	1	22	13.41
1953	2	10	13.65
1953	4	9	13.41
1953	4	12	13.77
1953	4	14	13.41
1953	4	17	13.41
1953	4	22	13.89
1953	5	5	13.41
1953	5	10	13.41
1953	5	16	13.41
1953	5	20	13.53
1953	6	3	13.89
1953	6	6	13.77
1953	6	7	13.77
1953	6	9	13.53
1953	6	11	13.65
1953	6	13	13.69
1953	6	16	13.83
1953	7	4	13.41
1953	7	9	13.53
1953	7	12	13.77
1938	1	31	13.41
1937	5	29	13.41
1937	6	2	13.53
1937	6	8	13.41
1937	6	27	13.41
1938	1	1	13.41
1937	6	10	13.41
1937	8	2	13.65
1937	5	13	13.53
1937	8	8	13.53
